Decode_pipe PC:19c | instruction:00c32d03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:26
Decode_pipe PC:1a0 | instruction:00000097 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 1
Decode_pipe PC:1a4 | instruction:f3c080e7 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:11 | RD: 1
Decode_pipe PC:0dc | instruction:fd010113 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 2
Decode_pipe PC:0e0 | instruction:02112623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
